age,gender,income_bracket,customer_city,customer_state,customer_zip_code,avg_purchase_value,purchase_frequency,avg_discount_used,loyalty_program,product_category,quantity,online_purchases,in_store_purchases,avg_items_per_transaction,month_of_year,days_since_last_purchase,app_usage,website_visits,social_media_engagement,preferred_store,membership_years,churned,total_transactions,purchase_frequency_numeric,CLV,avg_spend_per_transaction,cluster_kmeans,cluster_hierarchical,cluster_dbscan_improved,cluster_dbscan
0.6229508196721312,2,1.0,3,1,37848,0.8186623670836989,0.5,0.04,0,Electronics,0.875,0.5555555555555556,0.8686868686868687,0.8488888888888888,7,0.1098901098901099,High,30,High,0,0.0,0,69,52,-0.4747066502887709,-0.4798674694886784,0,2,0,0
0.836065573770492,0,0.5,0,0,44896,0.5279915096842662,0.0,0.66,0,Groceries,0.75,0.4848484848484848,0.0202020202020202,0.9555555555555556,2,0.9285714285714286,High,40,Medium,2,0.2222222222222222,0,8,365,0.257226259117044,-0.5359532795079353,0,2,0,0
0.459016393442623,0,0.0,1,0,11816,0.4832540767802109,0.5,0.94,0,Toys,0.875,0.1616161616161616,0.4545454545454546,0.0611111111111111,6,0.1675824175824176,Low,89,Medium,1,0.5555555555555556,0,73,52,-0.2361066994536241,-0.5051709286435301,0,2,0,0
0.2295081967213115,0,0.0,0,1,78604,0.3447353919627731,0.5,0.82,0,Toys,0.125,0.5050505050505051,0.4747474747474748,0.0866666666666666,8,0.1153846153846153,Low,12,Low,1,0.0,0,20,52,-0.4747066502887709,-0.5156208846666515,0,2,0,0
0.6885245901639345,0,0.0,1,2,17760,0.4164540686164458,0.5,0.44,1,Clothing,0.375,0.4848484848484848,0.4242424242424242,0.931111111111111,3,0.6648351648351649,Medium,31,Low,1,0.7777777777777777,1,83,1,-0.4691707708327458,1.0920879897560212,1,3,0,0
0.1147540983606557,2,0.5,3,2,54549,0.9961222115639732,0.5,0.18,1,Clothing,0.125,0.0303030303030303,0.0606060606060606,0.4844444444444444,2,0.4038461538461538,Medium,80,High,2,0.4444444444444444,1,52,52,-0.08124950693507516,-0.4664797624574362,0,2,0,0
0.9836065573770492,1,1.0,3,0,76235,0.97348817274527,1.0,0.0,0,Toys,0.5,0.4040404040404041,0.8484848484848485,0.2488888888888888,10,0.5247252747252747,Medium,9,High,1,0.0,0,58,12,-0.4747066502887709,-0.2233849724068722,0,2,0,0
0.3278688524590164,2,0.0,1,1,52863,0.3652468518480722,1.0,0.3,1,Groceries,0.75,0.5757575757575758,0.0404040404040404,0.4977777777777778,9,0.3489010989010989,Medium,23,Medium,3,0.2222222222222222,0,86,12,-0.45806029351430666,-0.42222514048377624,0,2,0,0
0.6229508196721312,0,0.0,2,1,65537,0.1752760373084066,0.0,0.76,0,Groceries,0.75,0.6161616161616162,0.888888888888889,0.1444444444444444,10,0.1868131868131868,Medium,43,Medium,3,0.0,0,88,365,-0.4747066502887709,-0.5397441687299017,0,2,0,0
0.9344262295081968,1,0.5,2,0,43331,0.8538277853746147,0.5,0.98,0,Clothing,0.375,0.2525252525252525,0.0606060606060606,0.8688888888888888,8,0.848901098901099,Medium,57,High,0,0.3333333333333333,0,74,1,-0.4698424324771111,2.8078700722557413,1,1,0,0
